country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0.035,,,,,0.063,,,,,0.065,,,,,,,,,,,0.077,,,,,0.183,0.179,,0.129,0.109,,,0.143,,,,0.11,,,,0.19,,,,,0.16,0.174,0.174,0.213,0.236,0.252,0.241,0.285,0.298,0.285,0.278,,,
Angola,0.067,,,,,0.076,,,,,0.116,,,,,,,,,,,,,,0.059,,,,,,0.042,,,,,,,0.0592,,,,,,,0.0621,,,,,0.131,,,,,,,,0.215,,
Albania,0.276,,,,,0.481,,,,,0.739,0.911,0.845,,,,,1.04,,,1.37,,,1.42,1.41,1.41,,,,,1.37,1.46,1.62,1.41,1.34,1.36,1.38,1.39,1.39,,1.38,1.31,1.17,1.19,1.19,,1.18,1.2,,1.23,1.23,1.22,1.27,1.28,,,1.22,,2.16,1.65
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,2.46,2.53,,2.57,2.6,2.9,3.33,3.13,3.23,3.01,3.01,,3.15,,,,,,3.33,,,,
United Arab Emirates,,,,,,,,,,,0.909,,,,,,,,,,1.07,,,,0.953,,,,,,,,,,,,,,,,1.8,1.98,2,2.08,1.92,1.52,1.33,1.41,1.64,1.52,1.42,1.44,1.48,1.74,2,2.21,2.37,2.44,2.53,
Argentina,1.35,,,,,1.67,,,,,1.89,,,,,1.87,,,,,,,,,2.68,2.71,2.98,,3.03,,2.68,,2.65,,,,,,3.02,,,3.25,,,3.19,,,,,,,,,3.94,,3.99,4,3.99,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747,0.739,0.742,0.719,0.696,0.686,0.662,0.653,0.673,0.693,2.7,2.62,2.56,2.46,2.46,2.56,2.59,2.67,2.74,2.77,2.84,2.87,2.9,2.9,2.89,2.91,,4.4,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,0.772,,,,,,,,,,,,,,,0.781,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0.294,,,,,,,,,,0.349,,,,,,,,,,,,,,,,,,,,0.76,0.919,,3.03,,0.76,1.14,,,0.161,,,,,,,,1.71,0.527,,,,,,,,,2.77,,
Australia,,1.1,,,,,1.2,,,,,1.2,,,,,1.5,,,,,1.8,,,1.8,1.9,2,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.53,,,,2.49,2.57,2.57,2.64,2.71,2.78,2.83,3,3.01,3.11,3.34,3.29,3.29,3.35,3.43,3.49,3.57,3.68,3.76,
Austria,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,,,,,,,,,,,2.99,3.08,3.22,3.3,3.4,3.49,3.56,3.64,3.76,3.76,3.85,3.96,4.03,4.12,4.21,4.34,4.47,4.55,4.62,4.71,4.8,4.84,4.89,4.97,5.04,5.1,5.12,5.17,5.21,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,3.36,,,,,3.8,3.88,3.91,3.96,3.99,3.8,3.82,3.77,3.8,3.75,3.76,3.72,3.64,3.56,3.54,3.57,3.55,3.56,3.55,3.56,3.58,3.56,3.71,3.68,3.68,3.66,3.44,3.49,3.46,3.45,,,,,
Burundi,0.01,,,,,0.017,,,,,0.017,,,,,0.012,,,,,,,,,0.047,,0.058,,,,0.058,0.059,,0.056,,0.055,,,,,0.052,,,,0.028,,,,,,0.0482,0.0399,0.0539,0.0581,0.0619,0.05,,0.1,,
Belgium,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,,1.5,1.6,1.7,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.5,2.8,2.7,2.8,2.9,3,3.1,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.7,2.79,2.82,2.84,2.85,2.85,2.85,2.85,2.87,2.89,2.9,2.91,2.91,2.92,2.94,2.96,2.97,3.01,3.07,3.07,3.11,5.96
Benin,0.04,,,,,0.03,,,,,0.034,,,,,,,,,,0.059,0.059,,0.075,,0.073,,,,0.071,0.051,0.042,0.055,0.057,0.061,0.058,,,,,,,,,0.0401,,,,0.0623,,0.0558,0.0577,,,,,0.0481,,0.0791,0.0647
Burkina Faso,0.011,,,,,0.014,,,,,0.01,,,,,,,,,,0.018,0.018,,0.018,,,0.004,,,0.029,,,,,,0.034,0.035,0.038,,,,0.04,,,0.0543,,,,0.0322,0.0446,0.0457,0.0386,0.0475,0.047,0.0487,0.0657,0.0645,0.0847,0.0853,0.094
